steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
298900,Space Hulk: Deathwing,game,39.99,2016-11-01,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/298900/header.jpg?t=1481651552
298930,Darkness Within 1: In Pursuit of Loath Nolder,game,7.99,2014-11-13,,215.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/298930/header.jpg?t=1447361701
298950,Darkness Within 2: The Dark Lineage,game,9.99,2014-12-05,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/298950/header.jpg?t=1447361702
299020,Runaway Express Mystery,game,6.99,2014-09-23,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299020/header.jpg?t=1478623940
299030,Blood: One Unit Whole Blood,game,4.99,2014-07-14,82.0,646.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299030/header.jpg?t=1464632996
299050,Blood II: The Chosen + Expansion,game,4.99,2014-07-14,72.0,147.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299050/header.jpg?t=1447361713
299070,Warrior Kings: Battles,game,9.99,2014-05-06,64.0,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299070/header.jpg?t=1447361715
299090,Cosplay Maker,game,14.99,2015-12-10,,,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/299090/header.jpg?t=1449770433
299100,Back To Life 2,game,4.99,2014-05-06,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299100/header.jpg?t=1447361717
299110,Theatre Of The Absurd,game,4.99,2014-05-08,,133.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299110/header.jpg?t=1447361717
299150,Empress Of The Deep,game,4.99,2014-05-08,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299150/header.jpg?t=1447361721
299160,Empress Of The Deep 2: Song Of The Blue Whale,game,4.99,2014-05-08,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/299160/header.jpg?t=1447361722
